dataset_test,mse_model,mse_single_gp
ukesm1-0-ll.csv,3.223825628161587,0.6954691589744671
mpi-esm1-2-hr.csv,0.830357504827008,0.22182203813510112
cesm2-waccm.csv,0.5933310246176344,0.5713122647599898
bcc-csm2-mr.csv,0.43226752840261345,0.30662840716387
canesm5-canoe.csv,3.5675181729046583,0.5249664139878716
miroc-es2l.csv,0.6387347807793988,0.4791430840105337
mri-esm2-0.csv,0.3391186608669912,0.5966268454509861
mpi-esm1-2-lr.csv,0.8303010448370934,0.21363368602296667
mcm-ua-1-0.csv,0.3882866457082516,0.6555082984925776
giss-e2-1-g.csv,0.5650396684083092,0.24790934242444482
noresm2-lm.csv,1.2984626859571669,0.4716408509123123
noresm2-mm.csv,1.1242624513492725,0.4163625912329817
canesm5.csv,3.3976612152481467,0.5503249607071407
cesm2.csv,0.48906944670979435,0.5712365562457339
miroc6.csv,0.8409580910329896,0.6967542839000354
access-esm1-5.csv,0.16200923126436534,0.4048287809782387
access-cm2.csv,0.4366234495291724,0.7835668276703373
