dataset,convergence,lik_var,kern_var,kern_ls
observed,True,0.012806063817266507,0.09109185208517898,0.0038942310685816583
access-cm2,True,0.5080825795748827,6.048288097923785,0.10825274292816169
access-esm1-5,True,0.3454450995159051,6.168308736184094,0.20182245323431844
bcc-csm2-mr,True,0.26432222975797937,2.6170114458358236,0.06636223972069931
canesm5,True,0.41733746464570953,11.857272770426185,0.1472280788525332
canesm5-canoe,True,0.4077420427506926,15.85511832691093,0.2340284341114629
cesm2,True,0.41053112529688424,9.361711390085471,0.16412590463883736
cesm2-waccm,True,0.44138921989873625,11.129346828794844,0.20758206507095442
giss-e2-1-g,True,0.25273037654949626,11.198993403371857,0.3029375909689942
mcm-ua-1-0,True,0.6541014441513737,6.253269235103735,0.22048234287128193
miroc-es2l,True,0.4646222750586261,6.309873906889768,0.18432885703152307
miroc6,True,0.7800931250497877,18.150110064982837,0.4569255050110695
mpi-esm1-2-hr,True,0.25061624847404473,1.7352037342060633,0.034039210321856216
mpi-esm1-2-lr,True,0.24167757009996488,7.633418779947165,0.28471889655020577
mri-esm2-0,True,0.36425645176369204,3.8910030591429363,0.13712180994715858
noresm2-lm,True,0.3615726804837596,2.6437228508636177,0.13134202012380292
noresm2-mm,True,0.4608379509876371,4.883405941814555,0.2022967202539017
ukesm1-0-ll,True,0.6164396917792663,16.685312961559866,0.23781674030937858
